Zone,Produit,origine,dispo_alim_tonnes,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Afghanistan,Abats Comestible,animal,52549.44,5.0,0.77,0.2
Afghanistan,"Beurre, Ghee",animal,35745.84,23.0,0.03,2.61
Afghanistan,Crème,animal,18331.2,3.0,0.04,0.32
Afghanistan,Graisses Animales Crue,animal,14970.48,12.0,0.01,1.31
Afghanistan,Lait - Excl Beurre,animal,1901250.96,100.0,6.12,5.19
Afghanistan,Oeufs,animal,39717.6,5.0,0.38,0.36
Afghanistan,Poissons Eau Douce,animal,2138.64,0.0,0.02,0.0
Afghanistan,Viande d'Ovins/Caprins,animal,150315.84,31.0,1.91,2.55
Afghanistan,Viande de Bovins,animal,140233.68,27.0,1.89,2.1
Afghanistan,Viande de Volailles,animal,74852.4,9.0,0.87,0.53
Afghanistan,"Viande, Autre",animal,11609.76,1.0,0.17,0.06
Afrique du Sud,Abats Comestible,animal,253852.55999999997,17.0,2.58,0.53
Afrique du Sud,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Afrique du Sud,"Beurre, Ghee",animal,18471.6,7.0,0.01,0.78
Afrique du Sud,Cephalopodes,animal,6333.12,0.0,0.05,0.0
Afrique du Sud,Crustacés,animal,22165.92,0.0,0.1,0.0
Afrique du Sud,Crème,animal,2638.8,0.0,0.0,0.03
Afrique du Sud,Graisses Animales Crue,animal,15832.8,6.0,,0.65
Afrique du Sud,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Afrique du Sud,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Afrique du Sud,Lait - Excl Beurre,animal,2942262.0,85.0,4.55,5.26
Afrique du Sud,"Mollusques, Autres",animal,7388.640000000001,0.0,0.01,0.0
Afrique du Sud,Oeufs,animal,380514.96,28.0,2.26,1.96
Afrique du Sud,Perciform,animal,113996.16000000002,2.0,0.43,0.04
Afrique du Sud,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Afrique du Sud,Poissons Eau Douce,animal,10027.44,0.0,0.06,0.01
Afrique du Sud,"Poissons Marins, Autres",animal,3694.3200000000006,0.0,0.02,0.0
Afrique du Sud,Poissons Pelagiques,animal,165716.64,10.0,1.16,0.51
Afrique du Sud,Viande d'Ovins/Caprins,animal,225881.28,25.0,1.53,2.1
Afrique du Sud,Viande de Bovins,animal,951551.2800000001,111.0,7.23,8.82
Afrique du Sud,Viande de Suides,animal,219548.16,42.0,1.11,4.17
Afrique du Sud,Viande de Volailles,animal,1982794.32,151.0,14.85,9.73
Afrique du Sud,"Viande, Autre",animal,46442.88,3.0,0.44,0.07
Albanie,Abats Comestible,animal,11105.5,11.0,1.6,0.4
Albanie,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Albanie,"Beurre, Ghee",animal,3775.87,23.0,0.03,2.65
Albanie,Cephalopodes,animal,1174.01,1.0,0.15,0.01
Albanie,Crustacés,animal,1015.36,0.0,0.09,0.0
Albanie,Crème,animal,95.19,0.0,0.0,0.02
Albanie,Graisses Animales Crue,animal,4188.36,28.0,0.1,3.11
Albanie,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Albanie,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Albanie,Lait - Excl Beurre,animal,963703.5600000002,533.0,29.96,31.43
Albanie,"Mollusques, Autres",animal,1047.09,0.0,0.02,0.0
Albanie,Oeufs,animal,39503.85,46.0,3.65,3.28
Albanie,Perciform,animal,3109.54,1.0,0.22,0.02
Albanie,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Albanie,Poissons Eau Douce,animal,2411.48,1.0,0.22,0.05
Albanie,"Poissons Marins, Autres",animal,2125.91,1.0,0.19,0.04
Albanie,Poissons Pelagiques,animal,4569.12,4.0,0.47,0.18
Albanie,Viande d'Ovins/Caprins,animal,48610.36,85.0,5.66,6.72
Albanie,Viande de Bovins,animal,71392.5,101.0,9.36,6.78
Albanie,Viande de Suides,animal,34522.24,83.0,2.73,7.9
Albanie,Viande de Volailles,animal,41978.79,67.0,4.94,5.12
Albanie,"Viande, Autre",animal,126.92,0.0,0.02,0.01
Algérie,Abats Comestible,animal,56851.6,4.0,0.63,0.18
Algérie,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
