Algérie,4,Viande de Bovins,animal,219564.8,25.0,2.25,1.76
Algérie,4,Viande de Suides,animal,0.0,0.0,0.0,0.0
Algérie,4,Viande de Volailles,animal,290923.36,26.0,2.28,1.75
Algérie,4,"Viande, Autre",animal,14114.88,1.0,0.15,0.08
Allemagne,79,Abats Comestible,animal,62045.25,2.0,0.37,0.06
Allemagne,79,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Allemagne,79,"Beurre, Ghee",animal,426871.32,101.0,0.13,11.46
Allemagne,79,Cephalopodes,animal,18199.94,0.0,0.09,0.01
Allemagne,79,Crustacés,animal,67836.14,1.0,0.24,0.01
Allemagne,79,Crème,animal,522834.64,34.0,0.47,3.34
Allemagne,79,Graisses Animales Crue,animal,586534.43,138.0,0.0,15.34
Allemagne,79,Huiles de Foie de Poisso,animal,0.0,0.0,0.0,0.0
Allemagne,79,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Allemagne,79,Lait - Excl Beurre,animal,21401474.9,331.0,24.58,16.5
Allemagne,79,"Mollusques, Autres",animal,28954.45,0.0,0.03,0.0
Allemagne,79,Oeufs,animal,1009269.4,47.0,3.82,3.32
Allemagne,79,Perciform,animal,338353.43,20.0,1.83,1.35
Allemagne,79,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Allemagne,79,Poissons Eau Douce,animal,351589.75,7.0,1.14,0.26
Allemagne,79,"Poissons Marins, Autres",animal,29781.72,1.0,0.13,0.03
Allemagne,79,Poissons Pelagiques,animal,203508.42,7.0,0.78,0.37
Allemagne,79,Viande d'Ovins/Caprins,animal,60390.71,5.0,0.25,0.4
Allemagne,79,Viande de Bovins,animal,1088687.32,39.0,4.71,2.06
Allemagne,79,Viande de Suides,animal,4286085.87,237.0,14.26,19.51
Allemagne,79,Viande de Volailles,animal,1468404.25,65.0,7.26,3.81
Allemagne,79,"Viande, Autre",animal,205162.96,7.0,1.4,0.16
Angola,7,Abats Comestible,animal,24692.799999999996,3.0,0.56,0.1
Angola,7,Animaux Aquatiques Autre,animal,0.0,0.0,0.0,0.0
Angola,7,"Beurre, Ghee",animal,1932.48,2.0,0.0,0.19
Angola,7,Cephalopodes,animal,1288.32,0.0,0.02,0.0
Angola,7,Crustacés,animal,858.88,0.0,0.01,0.0
Angola,7,Graisses Animales Crue,animal,10521.28,10.0,0.01,1.15
Angola,7,Huiles de Poissons,animal,0.0,0.0,0.0,0.0
Angola,7,Lait - Excl Beurre,animal,264105.60000000003,20.0,1.05,1.09
Angola,7,"Mollusques, Autres",animal,0.0,0.0,0.0,0.0
Angola,7,Oeufs,animal,23833.920000000006,4.0,0.33,0.29
Angola,7,Perciform,animal,131408.64,7.0,1.44,0.13
Angola,7,Plantes Aquatiques,animal,0.0,0.0,0.0,0.0
Angola,7,Poissons Eau Douce,animal,19754.24,2.0,0.27,0.06
Angola,7,"Poissons Marins, Autres",animal,24478.079999999994,2.0,0.33,0.07
Angola,7,Poissons Pelagiques,animal,151592.32,14.0,1.94,0.59
Angola,7,Viande d'Ovins/Caprins,animal,23189.76,5.0,0.44,0.32
Angola,7,Viande de Bovins,animal,180794.24,36.0,3.48,2.37
Angola,7,Viande de Suides,animal,190886.08,89.0,2.47,8.7
Angola,7,Viande de Volailles,animal,372109.75999999995,58.0,5.84,3.66
Angola,7,"Viande, Autre",animal,9018.24,1.0,0.21,0.03
Antigua-et-Barbuda,8,Abats Comestible,animal,246.60000000000002,8.0,1.37,0.18
