Algérie,4,"Viande, Autre",14000000.0,,,,,14000000.0,
Allemagne,79,Abats Comestible,70000000.0,1000000.0,,,,62000000.0,7000000.0
Allemagne,79,Animaux Aquatiques Autre,0.0,,,,,,0.0
Allemagne,79,"Beurre, Ghee",425000000.0,,,,,427000000.0,
Allemagne,79,Cephalopodes,18000000.0,,,,,18000000.0,0.0
Allemagne,79,Crustacés,69000000.0,1000000.0,,,,68000000.0,0.0
Allemagne,79,Crème,545000000.0,,,22000000.0,,523000000.0,
Allemagne,79,Graisses Animales Crue,1011000000.0,13000000.0,,,54000000.0,587000000.0,357000000.0
Allemagne,79,Huiles de Foie de Poisso,0.0,,,,,,0.0
Allemagne,79,Huiles de Poissons,4000000.0,4000000.0,,,,,0.0
Allemagne,79,Lait - Excl Beurre,23999000000.0,2064000000.0,,30000000.0,0.0,21401000000.0,504000000.0
Allemagne,79,"Mollusques, Autres",29000000.0,,,,,29000000.0,0.0
Allemagne,79,Oeufs,1093000000.0,,76000000.0,7000000.0,,1010000000.0,
Allemagne,79,Perciform,339000000.0,0.0,,,,339000000.0,0.0
Allemagne,79,Plantes Aquatiques,1000000.0,,,,,,1000000.0
Allemagne,79,Poissons Eau Douce,352000000.0,,,,,352000000.0,0.0
Allemagne,79,"Poissons Marins, Autres",30000000.0,,,,,30000000.0,0.0
Allemagne,79,Poissons Pelagiques,208000000.0,4000000.0,,,,204000000.0,0.0
Allemagne,79,Viande d'Ovins/Caprins,60000000.0,,,,,60000000.0,
Allemagne,79,Viande de Bovins,1094000000.0,,,5000000.0,,1089000000.0,
Allemagne,79,Viande de Suides,4286000000.0,,,,,4286000000.0,
Allemagne,79,Viande de Volailles,1569000000.0,,,,100000000.0,1469000000.0,
Allemagne,79,"Viande, Autre",207000000.0,,,,2000000.0,205000000.0,
Angola,7,Abats Comestible,25000000.0,,,,,25000000.0,
Angola,7,Animaux Aquatiques Autre,0.0,,,,,,0.0
Angola,7,"Beurre, Ghee",2000000.0,,,,,2000000.0,
Angola,7,Cephalopodes,1000000.0,,,,,1000000.0,0.0
Angola,7,Crustacés,1000000.0,,,,,1000000.0,0.0
Angola,7,Graisses Animales Crue,11000000.0,,,,,11000000.0,0.0
Angola,7,Huiles de Poissons,4000000.0,4000000.0,,,,,0.0
Angola,7,Lait - Excl Beurre,277000000.0,2000000.0,,11000000.0,0.0,264000000.0,
Angola,7,"Mollusques, Autres",0.0,,,,,,0.0
Angola,7,Oeufs,29000000.0,,3000000.0,2000000.0,,24000000.0,
Angola,7,Perciform,131000000.0,,,,,131000000.0,0.0
Angola,7,Plantes Aquatiques,0.0,,,,,,0.0
Angola,7,Poissons Eau Douce,20000000.0,,,,,20000000.0,0.0
Angola,7,"Poissons Marins, Autres",38000000.0,14000000.0,,,,24000000.0,0.0
Angola,7,Poissons Pelagiques,190000000.0,38000000.0,,,,152000000.0,0.0
Angola,7,Viande d'Ovins/Caprins,23000000.0,,,,,23000000.0,
Angola,7,Viande de Bovins,181000000.0,,,,,181000000.0,
Angola,7,Viande de Suides,191000000.0,,,,,191000000.0,
Angola,7,Viande de Volailles,372000000.0,,,,,372000000.0,
Angola,7,"Viande, Autre",9000000.0,,,,,9000000.0,
Antigua-et-Barbuda,8,Abats Comestible,0.0,,,,,,
Antigua-et-Barbuda,8,"Beurre, Ghee",0.0,,,,,,0.0
Antigua-et-Barbuda,8,Cephalopodes,0.0,,,,,,0.0
Antigua-et-Barbuda,8,Crustacés,1000000.0,,,,,1000000.0,0.0
Antigua-et-Barbuda,8,Crème,1000000.0,,,,,,1000000.0
Antigua-et-Barbuda,8,Graisses Animales Crue,0.0,,,,,,
Antigua-et-Barbuda,8,Huiles de Foie de Poisso,0.0,,,,,,0.0
Antigua-et-Barbuda,8,Huiles de Poissons,0.0,,,,,,0.0
Antigua-et-Barbuda,8,Lait - Excl Beurre,15000000.0,0.0,,0.0,,11000000.0,4000000.0
Antigua-et-Barbuda,8,"Mollusques, Autres",1000000.0,,,,,1000000.0,0.0
Antigua-et-Barbuda,8,Oeufs,0.0,,0.0,0.0,,,
Antigua-et-Barbuda,8,Perciform,1000000.0,,,,,1000000.0,1000000.0
Antigua-et-Barbuda,8,Plantes Aquatiques,0.0,,,,,,0.0
Antigua-et-Barbuda,8,Poissons Eau Douce,0.0,,,,,,0.0
Antigua-et-Barbuda,8,"Poissons Marins, Autres",2000000.0,0.0,,,,2000000.0,0.0
Antigua-et-Barbuda,8,Poissons Pelagiques,1000000.0,0.0,,,,1000000.0,0.0
Antigua-et-Barbuda,8,Viande d'Ovins/Caprins,0.0,,,,,,0.0
Antigua-et-Barbuda,8,Viande de Bovins,2000000.0,,,,,1000000.0,1000000.0
Antigua-et-Barbuda,8,Viande de Suides,3000000.0,,,,,1000000.0,2000000.0
Antigua-et-Barbuda,8,Viande de Volailles,7000000.0,,,,,5000000.0,1000000.0
Antigua-et-Barbuda,8,"Viande, Autre",0.0,,,,,,
Arabie saoudite,194,Abats Comestible,122000000.0,,,13000000.0,,109000000.0,
Arabie saoudite,194,Animaux Aquatiques Autre,0.0,,,,,,0.0
Arabie saoudite,194,"Beurre, Ghee",53000000.0,,,,,53000000.0,
Arabie saoudite,194,Cephalopodes,2000000.0,,,,,2000000.0,0.0
Arabie saoudite,194,Crustacés,40000000.0,,,,,40000000.0,0.0
Arabie saoudite,194,Crème,69000000.0,,,,,69000000.0,
Arabie saoudite,194,Graisses Animales Crue,24000000.0,,,,,17000000.0,6000000.0
Arabie saoudite,194,Huiles de Foie de Poisso,0.0,,,,,,0.0
Arabie saoudite,194,Huiles de Poissons,0.0,0.0,,,,,0.0
Arabie saoudite,194,Lait - Excl Beurre,2114000000.0,,,117000000.0,,2411000000.0,0.0
Arabie saoudite,194,"Mollusques, Autres",1000000.0,,,,,1000000.0,0.0
Arabie saoudite,194,Oeufs,208000000.0,,39000000.0,12000000.0,,155000000.0,
Arabie saoudite,194,Perciform,39000000.0,,,,,39000000.0,0.0
Arabie saoudite,194,Plantes Aquatiques,7000000.0,,,,,,7000000.0
Arabie saoudite,194,Poissons Eau Douce,135000000.0,,,,,135000000.0,0.0
Arabie saoudite,194,"Poissons Marins, Autres",21000000.0,0.0,,,,21000000.0,0.0
Arabie saoudite,194,Poissons Pelagiques,225000000.0,75000000.0,,,,150000000.0,0.0
Arabie saoudite,194,Viande d'Ovins/Caprins,189000000.0,,,,,189000000.0,
Arabie saoudite,194,Viande de Bovins,185000000.0,,,,,186000000.0,
Arabie saoudite,194,Viande de Suides,0.0,,,,,,
Arabie saoudite,194,Viande de Volailles,1414000000.0,,,,,1414000000.0,
Arabie saoudite,194,"Viande, Autre",49000000.0,,,,,49000000.0,
Argentine,9,Abats Comestible,364000000.0,,,,,230000000.0,134000000.0
Argentine,9,Animaux Aquatiques Autre,0.0,,,,,,0.0
Argentine,9,"Beurre, Ghee",38000000.0,,,,,38000000.0,
Argentine,9,Cephalopodes,63000000.0,,,,,63000000.0,0.0
Argentine,9,Crustacés,13000000.0,,,,,13000000.0,0.0
Argentine,9,Crème,4000000.0,,,,,4000000.0,
Argentine,9,Graisses Animales Crue,105000000.0,,,,,81000000.0,24000000.0
Argentine,9,Huiles de Foie de Poisso,0.0,,,,,,0.0
Argentine,9,Huiles de Poissons,0.0,0.0,,,,,0.0
Argentine,9,Lait - Excl Beurre,8481000000.0,273000000.0,,49000000.0,,8085000000.0,74000000.0
Argentine,9,"Mollusques, Autres",36000000.0,,,,,36000000.0,0.0
Argentine,9,Oeufs,552000000.0,,52000000.0,28000000.0,,472000000.0,
Argentine,9,Perciform,109000000.0,0.0,0.0,,,109000000.0,0.0
Argentine,9,Plantes Aquatiques,1000000.0,,,,,,1000000.0
Argentine,9,Poissons Eau Douce,9000000.0,0.0,,,,9000000.0,0.0
Argentine,9,"Poissons Marins, Autres",0.0,,,,,,0.0
Argentine,9,Poissons Pelagiques,71000000.0,8000000.0,0.0,,,63000000.0,0.0
Argentine,9,Viande d'Ovins/Caprins,65000000.0,,,,,65000000.0,
Argentine,9,Viande de Bovins,2589000000.0,,,289000000.0,,2300000000.0,
Argentine,9,Viande de Suides,435000000.0,,,,,435000000.0,
Argentine,9,Viande de Volailles,1602000000.0,,,,,1602000000.0,
Argentine,9,"Viande, Autre",52000000.0,,,9000000.0,,43000000.0,
Arménie,1,Abats Comestible,17000000.0,,,0.0,,14000000.0,3000000.0
Arménie,1,Animaux Aquatiques Autre,0.0,,,,,,0.0
Arménie,1,"Beurre, Ghee",5000000.0,,,,,5000000.0,
Arménie,1,Cephalopodes,0.0,,,,,,0.0
Arménie,1,Crustacés,0.0,,,,,,0.0
Arménie,1,Crème,0.0,,,,,,
Arménie,1,Graisses Animales Crue,11000000.0,,,0.0,,11000000.0,0.0
Arménie,1,Huiles de Foie de Poisso,0.0,,,,,,0.0
Arménie,1,Huiles de Poissons,0.0,,,,,,0.0
Arménie,1,Lait - Excl Beurre,671000000.0,48000000.0,,,0.0,622000000.0,
Arménie,1,"Mollusques, Autres",0.0,,,,,,0.0
Arménie,1,Oeufs,35000000.0,,0.0,,,35000000.0,0.0
Arménie,1,Perciform,0.0,,,,,,0.0
Arménie,1,Plantes Aquatiques,0.0,,,,,,0.0
Arménie,1,Poissons Eau Douce,10000000.0,,,,,10000000.0,0.0
Arménie,1,"Poissons Marins, Autres",1000000.0,,,,,1000000.0,0.0
Arménie,1,Poissons Pelagiques,11000000.0,8000000.0,,,,2000000.0,0.0
Arménie,1,Viande d'Ovins/Caprins,9000000.0,,,,,9000000.0,
Arménie,1,Viande de Bovins,61000000.0,,,,,59000000.0,2000000.0
Arménie,1,Viande de Suides,31000000.0,,,,,29000000.0,2000000.0
Arménie,1,Viande de Volailles,40000000.0,,,,,40000000.0,
Arménie,1,"Viande, Autre",0.0,,,,,,
Australie,10,Abats Comestible,210000000.0,,,11000000.0,,186000000.0,14000000.0
Australie,10,Animaux Aquatiques Autre,5000000.0,,,,,5000000.0,0.0
Australie,10,"Beurre, Ghee",97000000.0,,,,,86000000.0,11000000.0
Australie,10,Cephalopodes,28000000.0,,,,,28000000.0,0.0
Australie,10,Crustacés,100000000.0,,,,,100000000.0,0.0
Australie,10,Crème,7000000.0,,,,,7000000.0,
Australie,10,Graisses Animales Crue,154000000.0,,,,0.0,76000000.0,79000000.0
Australie,10,Huiles de Foie de Poisso,0.0,,,,,,0.0
Australie,10,Huiles de Poissons,6000000.0,6000000.0,,,,,0.0
Australie,10,Lait - Excl Beurre,6375000000.0,449000000.0,,,0.0,5474000000.0,452000000.0
Australie,10,"Mollusques, Autres",68000000.0,,,,,68000000.0,0.0
Australie,10,Oeufs,244000000.0,,43000000.0,2000000.0,,199000000.0,
Australie,10,Perciform,161000000.0,,,,,161000000.0,0.0
Australie,10,Plantes Aquatiques,7000000.0,,,,,,7000000.0
Australie,10,Poissons Eau Douce,96000000.0,,,,,96000000.0,0.0
Australie,10,"Poissons Marins, Autres",51000000.0,,,,,51000000.0,0.0
Australie,10,Poissons Pelagiques,278000000.0,173000000.0,,,,105000000.0,0.0
Australie,10,Viande d'Ovins/Caprins,248000000.0,,,,,231000000.0,18000000.0
Australie,10,Viande de Bovins,790000000.0,,,,0.0,790000000.0,
Australie,10,Viande de Suides,564000000.0,,,,,564000000.0,
Australie,10,Viande de Volailles,1077000000.0,,,,,1077000000.0,
Australie,10,"Viande, Autre",52000000.0,,,,2000000.0,52000000.0,
Autriche,11,Abats Comestible,11000000.0,,,,,11000000.0,
Autriche,11,Animaux Aquatiques Autre,0.0,,,,,,0.0
Autriche,11,"Beurre, Ghee",47000000.0,,,,,47000000.0,0.0
Autriche,11,Cephalopodes,2000000.0,,,,,2000000.0,0.0
Autriche,11,Crustacés,9000000.0,0.0,,,,9000000.0,0.0
Autriche,11,Crème,70000000.0,,,3000000.0,,67000000.0,
Autriche,11,Graisses Animales Crue,162000000.0,,,,13000000.0,99000000.0,50000000.0
Autriche,11,Huiles de Foie de Poisso,0.0,,,,,,0.0
Autriche,11,Huiles de Poissons,1000000.0,,,,,,1000000.0
Autriche,11,Lait - Excl Beurre,2595000000.0,305000000.0,,34000000.0,,2192000000.0,63000000.0
Autriche,11,"Mollusques, Autres",4000000.0,,,,,4000000.0,0.0
Autriche,11,Oeufs,130000000.0,,5000000.0,,,125000000.0,
Autriche,11,Perciform,25000000.0,,,,,25000000.0,0.0
Autriche,11,Plantes Aquatiques,2000000.0,,,,,,2000000.0
Autriche,11,Poissons Eau Douce,35000000.0,,,,,35000000.0,0.0
Autriche,11,"Poissons Marins, Autres",7000000.0,,,,,7000000.0,0.0
Autriche,11,Poissons Pelagiques,61000000.0,25000000.0,,,,37000000.0,0.0
Autriche,11,Viande d'Ovins/Caprins,10000000.0,,,,,10000000.0,
Autriche,11,Viande de Bovins,146000000.0,,,,0.0,146000000.0,
Autriche,11,Viande de Suides,447000000.0,,,,0.0,447000000.0,
Autriche,11,Viande de Volailles,169000000.0,0.0,,,11000000.0,158000000.0,
